sample,fastq_1,fastq_2,strandedness
CTR1_Z20_T,/home/s2451842/projects/HAoSMC_KD_150PE_GENCODE/F25A430000301-01_MUSdjofR/CleanData/CTR1_Z20_T/CTR1_Z20_T_1.fq.gz,/home/s2451842/projects/HAoSMC_KD_150PE_GENCODE/F25A430000301-01_MUSdjofR/CleanData/CTR1_Z20_T/CTR1_Z20_T_2.fq.gz,reverse
CTR2_Z30_T,/home/s2451842/projects/HAoSMC_KD_150PE_GENCODE/F25A430000301-01_MUSdjofR/CleanData/CTR2_Z30_T/CTR2_Z30_T_1.fq.gz,/home/s2451842/projects/HAoSMC_KD_150PE_GENCODE/F25A430000301-01_MUSdjofR/CleanData/CTR2_Z30_T/CTR2_Z30_T_2.fq.gz,reverse
1_21_Ctrl,/home/s2451842/SMC_RNA_Seq_LINC02398_KD/F23A430001530_HOMmlbzR/CleanData/1_21_Ctrl/1_21_Ctrl_1.fq.gz,/home/s2451842/SMC_RNA_Seq_LINC02398_KD/F23A430001530_HOMmlbzR/CleanData/1_21_Ctrl/1_21_Ctrl_2.fq.gz,reverse
3_K1_Ctrl,/home/s2451842/SMC_RNA_Seq_LINC02398_KD/F23A430001530_HOMmlbzR/CleanData/3_K1_Ctrl/3_K1_Ctrl_1.fq.gz,/home/s2451842/SMC_RNA_Seq_LINC02398_KD/F23A430001530_HOMmlbzR/CleanData/3_K1_Ctrl/3_K1_Ctrl_2.fq.gz,reverse
4_R1_Ctrl,/home/s2451842/SMC_RNA_Seq_LINC02398_KD/F23A430001530_HOMmlbzR/CleanData/4_R1_Ctrl/4_R1_Ctrl_1.fq.gz,/home/s2451842/SMC_RNA_Seq_LINC02398_KD/F23A430001530_HOMmlbzR/CleanData/4_R1_Ctrl/4_R1_Ctrl_2.fq.gz,reverse
5_R1_Ctrl,/home/s2451842/SMC_RNA_Seq_LINC02398_KD/F23A430001530_HOMmlbzR/CleanData/5_R1_Ctrl/5_R1_Ctrl_1.fq.gz,/home/s2451842/SMC_RNA_Seq_LINC02398_KD/F23A430001530_HOMmlbzR/CleanData/5_R1_Ctrl/5_R1_Ctrl_2.fq.gz,reverse
Z350Ctr,/home/s2451842/CTR_vs_KD_HAoSMCs_n_2/Z350Ctr_1.fq.gz,/home/s2451842/CTR_vs_KD_HAoSMCs_n_2/Z350Ctr_2.fq.gz,reverse
Z950Ctr,/home/s2451842/CTR_vs_KD_HAoSMCs_n_2/Z950Ctr_1.fq.gz,/home/s2451842/CTR_vs_KD_HAoSMCs_n_2/Z950Ctr_2.fq.gz,reverse
Z820Ctr,/home/s2451842/CTR_vs_KD_HAoSMCs_n_2/Z820Ctr_1.fq.gz,/home/s2451842/CTR_vs_KD_HAoSMCs_n_2/Z820Ctr_2.fq.gz,reverse
2_2SLT,/home/s2451842/SMC_RNA_Seq_LINC02398_KD/F23A430001530_HOMmlbzR/CleanData/2_2SLT/2_2SLT_1.fq.gz,/home/s2451842/SMC_RNA_Seq_LINC02398_KD/F23A430001530_HOMmlbzR/CleanData/2_2SLT/2_2SLT_2.fq.gz,reverse
3_1SLT,/home/s2451842/SMC_RNA_Seq_LINC02398_KD/F23A430001530_HOMmlbzR/CleanData/3_1SLT/3_1SLT_1.fq.gz,/home/s2451842/SMC_RNA_Seq_LINC02398_KD/F23A430001530_HOMmlbzR/CleanData/3_1SLT/3_1SLT_2.fq.gz,reverse
4_SLK1,/home/s2451842/SMC_RNA_Seq_LINC02398_KD/F23A430001530_HOMmlbzR/CleanData/4_SLK1/4_SLK1_1.fq.gz,/home/s2451842/SMC_RNA_Seq_LINC02398_KD/F23A430001530_HOMmlbzR/CleanData/4_SLK1/4_SLK1_2.fq.gz,reverse
5_SLK2,/home/s2451842/SMC_RNA_Seq_LINC02398_KD/F23A430001530_HOMmlbzR/CleanData/5_SLK2/5_SLK2_1.fq.gz,/home/s2451842/SMC_RNA_Seq_LINC02398_KD/F23A430001530_HOMmlbzR/CleanData/5_SLK2/5_SLK2_2.fq.gz,reverse
Z650KD,/home/s2451842/CTR_vs_KD_HAoSMCs_n_2/Z650KD_1.fq.gz,/home/s2451842/CTR_vs_KD_HAoSMCs_n_2/Z650KD_2.fq.gz,reverse
Z1250KD,/home/s2451842/CTR_vs_KD_HAoSMCs_n_2/Z1250KD_1.fq.gz,/home/s2451842/CTR_vs_KD_HAoSMCs_n_2/Z1250KD_2.fq.gz,reverse
KD1_Z20_T,/home/s2451842/projects/HAoSMC_KD_150PE_GENCODE/F25A430000301-01_MUSdjofR/CleanData/KD1_Z20_T/KD1_Z20_T_1.fq.gz,/home/s2451842/projects/HAoSMC_KD_150PE_GENCODE/F25A430000301-01_MUSdjofR/CleanData/KD1_Z20_T/KD1_Z20_T_2.fq.gz,reverse
KD2_Z30_T,/home/s2451842/projects/HAoSMC_KD_150PE_GENCODE/F25A430000301-01_MUSdjofR/CleanData/KD2_Z30_T/KD2_Z30_T_1.fq.gz,/home/s2451842/projects/HAoSMC_KD_150PE_GENCODE/F25A430000301-01_MUSdjofR/CleanData/KD2_Z30_T/KD2_Z30_T_2.fq.gz,reverse